,invoice_id,date_time,city,customer_type,gender,product_line,quantity,total,rating,payment
0,750-67-8428,2019-01-05,Yangon,Member,Female,Health and beauty,7,548.9715,9.1,Ewallet
1,226-31-3081,2019-03-08,Naypyidaw,Normal,Female,Electronic accessories,5,80.22,9.6,Cash
2,631-41-3108,2019-03-03,Yangon,Normal,Male,Home and lifestyle,7,340.5255,7.4,Credit card
3,123-19-1176,2019-01-27,Yangon,Member,Male,Health and beauty,8,489.048,8.4,Ewallet
4,373-73-7910,2019-02-08,Yangon,Normal,Male,Sports and travel,7,634.3785,5.3,Ewallet
5,699-14-3026,2019-03-25,Naypyidaw,Normal,Male,Electronic accessories,7,627.6165,4.1,Ewallet
6,355-53-5943,2019-02-25,Yangon,Member,Female,Electronic accessories,6,433.692,5.8,Ewallet
7,315-22-5665,2019-02-24,Naypyidaw,Normal,Female,Home and lifestyle,10,772.38,8.0,Ewallet
8,665-32-9167,2019-01-10,Yangon,Member,Female,Health and beauty,2,76.146,7.2,Credit card
9,692-92-5582,2019-02-20,Mandalay,Member,Female,Food and beverages,3,172.746,5.9,Credit card
10,351-62-0822,2019-02-06,Mandalay,Member,Female,Fashion accessories,4,60.816,4.5,Ewallet
11,529-56-3974,2019-03-09,Mandalay,Member,Male,Electronic accessories,4,107.142,6.8,Cash
12,365-64-0515,2019-02-12,Yangon,Normal,Female,Electronic accessories,5,246.4875,7.1,Ewallet
13,252-56-2699,2019-02-07,Yangon,Normal,Male,Food and beverages,10,453.495,8.2,Ewallet
14,829-34-3910,2019-03-29,Yangon,Normal,Female,Health and beauty,10,749.49,5.7,Cash
15,299-46-1805,2019-01-15,Mandalay,Member,Female,Sports and travel,6,590.436,4.5,Cash
16,656-95-9349,2019-03-11,Yangon,Member,Female,Health and beauty,7,506.6355,4.6,Credit card
17,765-26-6951,2019-01-01,Yangon,Normal,Male,Sports and travel,6,457.443,6.9,Credit card
18,329-62-1586,2019-01-21,Yangon,Normal,Male,Food and beverages,3,172.2105,8.6,Credit card
19,319-50-3348,2019-03-11,Mandalay,Normal,Female,Home and lifestyle,2,84.63,4.4,Ewallet
20,300-71-4605,2019-02-25,Naypyidaw,Member,Male,Electronic accessories,5,451.71,4.8,Ewallet
21,371-85-5789,2019-03-05,Mandalay,Normal,Male,Health and beauty,3,277.137,5.1,Ewallet
22,273-16-6619,2019-03-15,Mandalay,Normal,Male,Home and lifestyle,2,69.72,4.4,Credit card
23,636-48-8204,2019-02-17,Yangon,Normal,Male,Electronic accessories,5,181.44,9.9,Ewallet
24,549-59-1358,2019-03-02,Yangon,Member,Male,Sports and travel,3,279.1845,6.0,Ewallet
25,227-03-5010,2019-03-22,Yangon,Member,Female,Home and lifestyle,8,441.756,8.5,Credit card
26,649-29-6775,2019-02-08,Mandalay,Normal,Male,Fashion accessories,1,35.196,6.7,Cash
27,189-17-4241,2019-03-10,Yangon,Normal,Female,Fashion accessories,2,184.107,7.7,Credit card
28,145-94-9061,2019-01-25,Mandalay,Normal,Female,Food and beverages,5,463.89,9.6,Cash
29,848-62-7243,2019-03-15,Yangon,Normal,Male,Health and beauty,9,235.2105,7.4,Cash
30,871-79-8483,2019-02-25,Mandalay,Normal,Male,Fashion accessories,5,494.1825,4.8,Credit card
31,149-71-6266,2019-01-28,Mandalay,Member,Male,Sports and travel,9,737.7615,4.5,Cash
32,640-49-2076,2019-01-10,Mandalay,Normal,Male,Sports and travel,8,703.752,5.1,Cash
